frame,nrD,nrV,nrD_ratio,nrV_ratio,head_angle,dhead_dt,theta_rad,theta_deg,bin_index,binned_theta_deg,binned_theta_rad,polar_x,polar_y
41,1.199052163995971,0.8847736126500597,0.5754090276807475,0.4245909723192525,-55.816293222,11.888905969,2.9317283033028527,167.9756584583032,16,165.0,2.8797932657906435,-0.9659258262890682,0.258819045102521
42,1.1447264974465643,0.957286178574822,0.544585915444269,0.455414084555731,-43.480871926000006,12.6788875817,2.8578628400294512,163.7434791609587,16,165.0,2.8797932657906435,-0.9659258262890682,0.258819045102521
43,1.086185292786077,0.9747965396528204,0.527023225382206,0.472976774617794,-30.4585180586,12.996469581100005,2.7382879739793147,156.89234400044373,15,155.0,2.705260340591211,-0.90630778703665,0.4226182617406995
44,1.019410077799525,0.9395517527099576,0.5203828180431668,0.4796171819568333,-17.4879327638,12.423661850399998,2.523911963807901,144.6095033887681,14,145.0,2.5307274153917776,-0.8191520442889917,0.5735764363510464
45,1.0010089796178443,1.0699561575622196,0.4833538535471781,0.5166461464528218,-5.6111943578000005,11.487738105,2.025161925556997,116.03323116500296,11,115.0,2.007128639793479,-0.4226182617406993,0.90630778703665
46,0.960974694040101,1.124576784807217,0.460777259054392,0.539222740945608,5.487543446199999,11.229527261,1.116252986544711,63.956584997885415,6,65.0,1.1344640137963142,0.4226182617406994,0.90630778703665
47,0.9321108347416278,1.1262473413793834,0.4528419035885175,0.5471580964114825,16.8478601642,11.7344178823,0.6083684416563067,34.85694409585723,3,35.0,0.6108652381980153,0.8191520442889918,0.573576436351046
48,0.9174009292065656,1.274964044542814,0.4184526482548331,0.5815473517451669,28.9563792108,12.022302527900004,0.3935293912715423,22.54757323421179,2,25.0,0.4363323129985824,0.90630778703665,0.4226182617406994
49,0.8948298220640124,1.2826870409664286,0.4109404786967672,0.5890595213032327,40.892465220000005,10.8845052316,0.2601422442647187,14.90505266942973,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
50,0.9006700547642402,1.3144489550568712,0.4066012032631043,0.5933987967368956,50.725389674,8.634054111999998,0.1685958903007955,9.6598329574862,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
51,0.8733435670810673,1.3334993589626176,0.3957434200569739,0.6042565799430262,58.160573444,5.989517788000001,0.1026206834864611,5.879732054522085,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
52,0.881102589916358,1.2174310635357763,0.4198658374941592,0.5801341625058408,62.70442525,2.366756643999995,0.0377267418400215,2.1615830822128532,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
53,0.8813937360486434,1.308695249588688,0.4024465406788717,0.5975534593211281,62.89408673199999,0.3128229120000014,0.0049737638095761,0.2849756745836234,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
54,0.8549397710545252,1.2700520761013077,0.4023261417208766,0.5976738582791232,63.330071074,-0.6171748879999939,6.27344024704476,359.44164918317324,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
55,0.8696812551249418,1.375816234680493,0.3873000344348178,0.6126999655651822,61.659736956,-2.3102811860000045,6.2457345962358515,357.85423232315964,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
56,0.9117915155588776,1.3015349997920904,0.4119552669861249,0.588044733013875,58.709508701999994,-3.5326572379999988,6.223085962912885,356.55656122201424,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
57,0.9457725702277991,1.4253022634770078,0.398879257956624,0.601120742043376,54.594422480000006,-5.392323873999995,6.184734029828978,354.35915732013825,35,355.0,6.19591884457987,0.9961946980917455,-0.0871557427476583
58,0.9519936379634,1.3652484106596563,0.4108304691471875,0.5891695308528127,47.924860954,-9.419340225800005,6.089115095271956,348.8805959284833,34,345.0,6.021385919380437,0.9659258262890684,-0.2588190451025207
59,1.023277952502857,1.3269980340536789,0.4353862943568998,0.5646137056431002,35.7557420284,-13.605166790800002,5.919598846803159,339.16803033233015,33,335.0,5.8468529941810035,0.9063077870366496,-0.4226182617407
60,0.9742411659997728,1.1740499373080846,0.4534958807489698,0.5465041192510303,20.7145273724,-15.589214362,5.63803888382409,323.0358327737698,32,325.0,5.672320068981571,0.8191520442889916,-0.5735764363510465
61,0.9894348579965908,1.1283747610817758,0.4671972631927016,0.5328027368072984,4.577313304399999,-17.625348666,4.966476559407223,284.55814590468793,28,285.0,4.97418836818384,0.2588190451025211,-0.9659258262890682
62,1.0026797368432954,1.0547976981242058,0.487334499908687,0.512665500091313,-14.5361699596,-18.583749081,4.048597613916009,231.96755622412283,23,235.0,4.101523742186674,-0.5735764363510464,-0.8191520442889916
63,0.9883690016170856,1.021814581692034,0.4916809637804595,0.5083190362195404,-32.5901848576,-17.0476052852,3.623541305318139,207.6136236860546,20,205.0,3.577924966588375,-0.90630778703665,-0.4226182617406993
64,0.9971372586360971,1.03746989689813,0.4900883474845927,0.5099116525154073,-48.63138053,-14.2757377372,3.4271214867767097,196.35959707090524,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
65,1.057092447021018,1.074221440856733,0.4959815881806196,0.5040184118193805,-61.141660332,-10.943775368000004,3.3187075857038826,190.1479380988834,19,195.0,3.4033920413889422,-0.9659258262890684,-0.2588190451025203
66,1.0855727484769326,1.0992359429076028,0.4968731371116041,0.5031268628883958,-70.51893126600001,-6.161971890000004,3.2287516665559512,184.9938435894869,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
67,1.105694655967303,1.015392392000589,0.5212867887843707,0.4787132112156292,-73.46560411200001,-1.5769697179999935,3.163054773180823,181.22968887197104,18,185.0,3.2288591161895095,-0.9961946980917455,-0.0871557427476579
68,1.183272602224171,1.0059519572856626,0.5404985053196669,0.4595014946803332,-73.672870702,0.5686433010000016,3.133874317061556,179.55777189207038,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
69,1.2053454566740665,1.0196134698819246,0.5417382956097163,0.4582617043902837,-72.32831751,1.6192738530000028,3.119208565926831,178.71748624866143,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
70,1.1978972460698658,0.987952273742024,0.5480236563461856,0.4519763436538144,-70.43432299599999,3.196472554000003,3.0962414570495724,177.40156784237706,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
71,1.2274045186924891,1.0011023983669074,0.550774381401561,0.4492256185984388,-65.935372402,0.4450529619999983,3.1348429199178938,179.61326874776285,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
72,1.177389140523552,1.1312323747470536,0.5099966073847944,0.4900033926152057,-69.544217072,5.104828004600002,3.068320004771259,175.80178646895376,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
73,1.161555774037728,1.1371790261283652,0.5053022096997882,0.4946977903002118,-55.725716392799995,9.153391678599998,2.9787885083906236,170.67200959285253,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
74,1.1286241930346042,1.029224218869332,0.5230321957781938,0.4769678042218061,-51.2374337148,6.922230139999996,3.007304703929256,172.30586724498596,17,175.0,3.0543261909900763,-0.9961946980917455,0.0871557427476586
75,1.1092797344093996,1.1049042366280095,0.500988061028041,0.499011938971959,-41.8812561128,9.432429845399998,2.9200703366659653,167.30770617230522,16,165.0,2.8797932657906435,-0.9659258262890682,0.258819045102521
76,0.9688834387879393,1.1111948461424377,0.4657918145712333,0.5342081854287667,-32.372574024,14.148181299900005,2.729566519856693,156.39264148800052,15,155.0,2.705260340591211,-0.90630778703665,0.4226182617406995
77,0.9600478074172908,1.0894441619946271,0.4684320903647001,0.5315679096352999,-13.584893512999995,11.414751067900005,2.4427843597564927,139.96123407461397,13,135.0,2.356194490192345,-0.7071067811865475,0.7071067811865476
78,0.9501002789238816,1.1066315538127245,0.4619466008165565,0.5380533991834435,-9.543071888199997,9.9604680334,2.3347967110586936,133.77399756468867,13,135.0,2.356194490192345,-0.7071067811865475,0.7071067811865476
79,0.9282442937893608,1.286537207128433,0.4191132594365183,0.5808867405634817,6.336042553800003,14.981203047000005,1.1706778957430597,67.07490259533353,6,65.0,1.1344640137963142,0.4226182617406994,0.90630778703665
80,0.9533069861172454,1.282329347918962,0.4264141585121537,0.5735858414878464,20.41933420580001,14.0806326076,0.6036940118476588,34.589118996191566,3,35.0,0.6108652381980153,0.8191520442889918,0.573576436351046
81,0.997272340606392,1.3637131697946268,0.4223966374266325,0.5776033625733675,34.497307769,13.3465915541,0.3691520055318049,21.15085191576244,2,25.0,0.4363323129985824,0.90630778703665,0.4226182617406994
82,1.011080063859203,1.4857806713403352,0.4049405117415977,0.5950594882584022,47.11251731400001,12.129627339499995,0.2519881912131687,14.437859843650145,1,15.0,0.2617993877991494,0.9659258262890684,0.2588190451025207
83,0.9841852963959392,1.470188641343527,0.4009924002462298,0.5990075997537703,58.756562448,10.345221422999996,0.174282914405202,9.985675436657855,0,5.0,0.0872664625997164,0.9961946980917455,0.0871557427476581
