frame,25px_sum,25px_mean,10px_sum,10px_mean
291,23840,953.6,11008,1100.8
292,22624,904.96,9920,992.0
293,22304,892.16,9728,972.8
294,22656,906.24,9728,972.8
295,22048,881.92,9552,955.2
296,22128,885.12,9504,950.4
297,21472,858.88,9136,913.6
298,0,nan,0,nan
299,21264,850.56,9088,908.8
300,21056,842.24,9088,908.8
301,0,nan,0,nan
302,0,nan,0,nan
303,0,nan,0,nan
304,0,nan,0,nan
305,0,nan,0,nan
306,0,nan,0,nan
307,0,nan,0,nan
308,0,nan,0,nan
309,0,nan,0,nan
310,0,nan,0,nan
311,0,nan,0,nan
312,21392,855.68,9264,926.4
313,22752,910.08,10192,1019.2
314,22656,906.24,10080,1008.0
315,21952,878.08,9536,953.6
316,0,nan,0,nan
317,0,nan,0,nan
318,0,nan,0,nan
319,0,nan,0,nan
320,0,nan,0,nan
321,21184,847.36,9104,910.4
322,22320,892.8,10096,1009.6
323,27424,1096.96,14112,1411.2
324,25664,1026.56,12848,1284.8
325,23904,956.16,11328,1132.8
326,22512,900.48,10464,1046.4
327,23328,933.12,11472,1147.2
328,20784,831.36,9696,969.6
329,20752,830.08,9440,944.0
330,0,nan,0,nan
331,21488,859.52,9632,963.2
332,20976,839.04,9168,916.8
333,23264,930.56,10816,1081.6
334,25520,1020.8,12816,1281.6
335,28128,1125.12,13936,1393.6
336,27248,1089.92,12960,1296.0
337,21712,868.48,9232,923.2
338,21360,854.4,8880,888.0
339,20720,828.8,8832,883.2
340,21888,875.52,9424,942.4
341,21088,843.52,9104,910.4
342,22896,915.84,10016,1001.6
343,21392,855.68,9104,910.4
344,21584,863.36,9264,926.4
345,21088,843.52,9024,902.4
346,20992,839.68,9200,920.0
347,21328,853.12,9456,945.6
348,0,nan,0,nan
349,19104,764.16,8048,804.8
350,19728,789.12,8192,819.2
351,23824,952.96,10576,1057.6
352,23296,931.84,10000,1000.0
353,20016,800.64,8304,830.4
354,24912,996.48,12336,1233.6
355,22416,896.64,10384,1038.4
356,28992,1159.68,15728,1572.8
357,21056,842.24,9360,936.0
358,20560,822.4,8688,868.8
359,22400,896.0,9552,955.2
360,20528,821.12,8880,888.0
361,23952,958.08,11104,1110.4
362,23488,939.52,10752,1075.2
363,23392,935.68,10624,1062.4
364,24016,960.64,11408,1140.8
365,22736,909.44,10704,1070.4
366,23024,920.96,10128,1012.8
367,31664,1266.56,15744,1574.4
368,0,nan,0,nan
369,35200,1408.0,17376,1737.6
370,28960,1158.4,13952,1395.2
371,28208,1128.32,13824,1382.4
372,21792,871.68,9376,937.6
373,20480,819.2,8976,897.6
374,21104,844.16,8832,883.2
375,21712,868.48,9216,921.6
376,22768,910.72,9600,960.0
377,23904,956.16,10464,1046.4
378,25184,1007.36,12176,1217.6
379,0,nan,0,nan
380,25616,1024.64,12240,1224.0
381,22864,914.56,10208,1020.8
382,23616,944.64,11040,1104.0
383,21424,856.96,9248,924.8
384,24672,986.88,11616,1161.6
385,24640,985.6,11568,1156.8
386,21552,862.08,9456,945.6
387,24784,991.36,12032,1203.2
388,21168,846.72,9248,924.8
389,23520,940.8,11168,1116.8
390,22000,880.0,10240,1024.0
391,22320,892.8,10016,1001.6
392,21664,866.56,9760,976.0
393,20240,809.6,8736,873.6
394,0,nan,0,nan
395,19232,769.28,8080,808.0
396,19472,778.88,8112,811.2
397,20896,835.84,9040,904.0
398,20960,838.4,8928,892.8
399,22176,887.04,9904,990.4
400,21920,876.8,10144,1014.4
401,22176,887.04,9984,998.4
402,0,nan,0,nan
403,0,nan,0,nan
404,20928,837.12,8880,888.0
405,21792,871.68,9424,942.4
406,22640,905.6,9584,958.4
407,21520,860.8,9120,912.0
408,22544,901.76,9792,979.2
409,23024,920.96,10032,1003.2
410,22656,906.24,10192,1019.2
411,24608,984.32,11152,1115.2
412,26192,1047.68,12736,1273.6
413,23936,957.44,10976,1097.6
414,22176,887.04,9600,960.0
415,0,nan,0,nan
416,0,nan,0,nan
417,0,nan,0,nan
418,0,nan,0,nan
419,20368,814.72,8848,884.8
420,20512,820.48,8928,892.8
421,21728,869.12,9296,929.6
422,21952,878.08,9936,993.6
423,21344,853.76,9040,904.0
424,0,nan,0,nan
425,25888,1035.52,12000,1200.0
426,24304,972.16,10736,1073.6
427,25776,1031.04,12320,1232.0
428,31120,1244.8,16256,1625.6
429,26928,1077.12,13696,1369.6
430,31824,1272.96,16816,1681.6
431,24112,964.48,10960,1096.0
432,21184,847.36,9440,944.0
433,20480,819.2,8960,896.0
434,22112,884.48,9632,963.2
435,21536,861.44,9168,916.8
436,0,nan,0,nan
437,21696,867.84,9440,944.0
438,23152,926.08,10464,1046.4
439,25136,1005.44,12368,1236.8
440,23584,943.36,10912,1091.2
441,24288,971.52,11520,1152.0
442,26272,1050.88,12816,1281.6
443,23728,949.12,10464,1046.4
444,23936,957.44,11088,1108.8
445,0,nan,0,nan
446,0,nan,0,nan
447,22336,893.44,9856,985.6
448,20768,830.72,8912,891.2
449,20496,819.84,8640,864.0
450,20544,821.76,8704,870.4
451,22192,887.68,10000,1000.0
452,22464,898.56,10160,1016.0
453,22592,903.68,10208,1020.8
454,0,nan,0,nan
455,19888,795.52,8576,857.6
456,24656,986.24,11488,1148.8
457,32384,1295.36,17648,1764.8
458,27424,1096.96,13584,1358.4
459,23872,954.88,11088,1108.8
460,24768,990.72,11856,1185.6
461,24000,960.0,10960,1096.0
462,24256,970.24,11264,1126.4
463,24832,993.28,11856,1185.6
464,21856,874.24,9728,972.8
465,24288,971.52,11536,1153.6
466,23024,920.96,10256,1025.6
467,24976,999.04,11392,1139.2
468,27504,1100.16,13568,1356.8
469,22656,906.24,10128,1012.8
470,28448,1137.92,15504,1550.4
471,26896,1075.84,12752,1275.2
472,23664,946.56,10384,1038.4
473,24192,967.68,10816,1081.6
474,24224,968.96,11056,1105.6
475,22736,909.44,9968,996.8
476,0,nan,0,nan
477,0,nan,0,nan
478,0,nan,0,nan
479,18848,753.92,7920,792.0
480,22256,890.24,9488,948.8
481,22624,904.96,9808,980.8
482,30576,1223.04,14944,1494.4
483,27888,1115.52,13360,1336.0
484,24240,969.6,10688,1068.8
485,22128,885.12,9328,932.8
486,20832,833.28,9184,918.4
487,20944,837.76,9088,908.8
488,19904,796.16,8464,846.4
489,20256,810.24,8784,878.4
490,21632,865.28,9392,939.2
491,21616,864.64,9360,936.0
492,20752,830.08,8816,881.6
493,21520,860.8,9120,912.0
494,21168,846.72,9104,910.4
495,23472,938.88,10176,1017.6
496,22672,906.88,10320,1032.0
497,21056,842.24,9248,924.8
498,0,nan,0,nan
499,21440,857.6,9120,912.0
500,20480,819.2,8640,864.0
501,0,nan,0,nan
502,0,nan,0,nan
503,0,nan,0,nan
504,20976,839.04,8992,899.2
505,20816,832.64,8896,889.6
506,20592,823.68,8720,872.0
507,21968,878.72,9328,932.8
508,20656,826.24,8736,873.6
509,20416,816.64,8800,880.0
510,20288,811.52,8640,864.0
511,20080,803.2,8800,880.0
512,0,nan,0,nan
513,0,nan,0,nan
514,0,nan,0,nan
515,21504,860.16,9456,945.6
516,22464,898.56,9920,992.0
517,20096,803.84,8512,851.2
518,20672,826.88,8784,878.4
519,20848,833.92,9248,924.8
520,21184,847.36,9168,916.8
521,21120,844.8,8832,883.2
522,21104,844.16,8880,888.0
523,19376,775.04,8080,808.0
524,20768,830.72,8784,878.4
525,19856,794.24,8528,852.8
526,20752,830.08,9072,907.2
527,20416,816.64,9040,904.0
528,22896,915.84,10400,1040.0
529,22240,889.6,9840,984.0
530,21536,861.44,9456,945.6
531,22032,881.28,9472,947.2
532,20464,818.56,8800,880.0
533,21728,869.12,9248,924.8
534,20528,821.12,8864,886.4
535,20624,824.96,9264,926.4
536,19872,794.88,8752,875.2
537,19984,799.36,8608,860.8
538,0,nan,0,nan
539,0,nan,0,nan
540,19488,779.52,8272,827.2
541,22016,880.64,9568,956.8
542,22720,908.8,10496,1049.6
543,23888,955.52,11024,1102.4
544,22144,885.76,9376,937.6
545,0,nan,0,nan
546,22240,889.6,9520,952.0
547,20080,803.2,8640,864.0
548,20304,812.16,8624,862.4
549,21328,853.12,9200,920.0
550,22144,885.76,9504,950.4
551,21616,864.64,9056,905.6
552,0,nan,0,nan
553,23824,952.96,10352,1035.2
554,21584,863.36,9360,936.0
555,21840,873.6,9680,968.0
556,20656,826.24,9184,918.4
557,0,nan,0,nan
558,20560,822.4,8768,876.8
559,0,nan,0,nan
560,0,nan,0,nan
561,0,nan,0,nan
562,22464,898.56,10208,1020.8
563,22448,897.92,10000,1000.0
564,0,nan,0,nan
565,0,nan,0,nan
566,21472,858.88,9600,960.0
567,20896,835.84,9312,931.2
568,22352,894.08,9808,980.8
569,24624,984.96,11264,1126.4
570,0,nan,0,nan
571,21632,865.28,9168,916.8
572,23456,938.24,9888,988.8
573,30944,1237.76,15296,1529.6
574,32640,1305.6,17088,1708.8
575,30080,1203.2,16176,1617.6
576,25728,1029.12,13376,1337.6
577,23472,938.88,10832,1083.2
578,0,nan,0,nan
579,21280,851.2,9424,942.4
580,22064,882.56,9520,952.0
581,20448,817.92,8672,867.2
582,21696,867.84,9312,931.2
583,0,nan,0,nan
584,0,nan,0,nan
585,0,nan,0,nan
586,25200,1008.0,11888,1188.8
587,26768,1070.72,13184,1318.4
588,20864,834.56,9056,905.6
589,0,nan,0,nan
590,21232,849.28,9216,921.6
591,22960,918.4,10528,1052.8
592,28720,1148.8,15456,1545.6
593,26976,1079.04,13728,1372.8
594,28032,1121.28,14896,1489.6
595,24928,997.12,12512,1251.2
596,0,nan,0,nan
597,21760,870.4,9248,924.8
598,0,nan,0,nan
599,0,nan,0,nan
600,22128,885.12,9408,940.8
601,25776,1031.04,11920,1192.0
602,29984,1199.36,15968,1596.8
603,23776,951.04,11024,1102.4
604,0,nan,0,nan
605,22112,884.48,9600,960.0
606,21680,867.2,9456,945.6
607,0,nan,0,nan
608,0,nan,0,nan
609,0,nan,0,nan
610,20144,805.76,8720,872.0
611,22656,906.24,10432,1043.2
612,24752,990.08,11904,1190.4
613,24128,965.12,11488,1148.8
614,24816,992.64,12240,1224.0
615,23248,929.92,11312,1131.2
