frame,25px sum,25px mean,10px sum,10px mean
240,180848,7233.92,82048,8204.8
241,167776,6711.04,75056,7505.6
242,163296,6531.84,73552,7355.2
243,160144,6405.76,72528,7252.8
244,164528,6581.12,75328,7532.8
245,164336,6573.44,75152,7515.2
246,168064,6722.56,75792,7579.2
247,177328,7093.12,85152,8515.2
248,179024,7160.96,85568,8556.8
249,186256,7450.24,88880,8888.0
250,186528,7461.12,87696,8769.6
251,187904,7516.16,86656,8665.6
252,197072,7882.88,96288,9628.8
253,195920,7836.8,93792,9379.2
254,195536,7821.44,90240,9024.0
255,203056,8122.24,95456,9545.6
256,212352,8494.08,100016,10001.6
257,214400,8576.0,104000,10400.0
258,224112,8964.48,112912,11291.2
259,229504,9180.16,116320,11632.0
260,231872,9274.88,113184,11318.4
261,228672,9146.88,110576,11057.6
262,214304,8572.16,96112,9611.2
263,241440,9657.6,118368,11836.8
264,235968,9438.72,118688,11868.8
265,238736,9549.44,121104,12110.4
266,242560,9702.4,121440,12144.0
267,211264,8450.56,93520,9352.0
268,202832,8113.28,92224,9222.4
269,203888,8155.52,95920,9592.0
270,210608,8424.32,100608,10060.8
271,198544,7941.76,91536,9153.6
272,205600,8224.0,95824,9582.4
273,197456,7898.24,92352,9235.2
274,203104,8124.16,94448,9444.8
275,199136,7965.44,91920,9192.0
276,191424,7656.96,86176,8617.6
277,204224,8168.96,100528,10052.8
278,194272,7770.88,89664,8966.4
279,192896,7715.84,87600,8760.0
280,202352,8094.08,94480,9448.0
281,195360,7814.4,89792,8979.2
282,203568,8142.72,95616,9561.6
283,205312,8212.48,96848,9684.8
284,206880,8275.2,96944,9694.4
285,199696,7987.84,95568,9556.8
286,192496,7699.84,91376,9137.6
287,189744,7589.76,85648,8564.8
288,218624,8744.96,103952,10395.2
289,240032,9601.28,124432,12443.2
290,227920,9116.8,113792,11379.2
291,233760,9350.4,122448,12244.8
292,225872,9034.88,115568,11556.8
293,206080,8243.2,100896,10089.6
294,218896,8755.84,114096,11409.6
295,221232,8849.28,109440,10944.0
296,228416,9136.64,118336,11833.6
297,226560,9062.4,115616,11561.6
298,208272,8330.88,98192,9819.2
299,223520,8940.8,107936,10793.6
300,221056,8842.24,100000,10000.0
301,227472,9098.88,107136,10713.6
302,213136,8525.44,96800,9680.0
303,211408,8456.32,97712,9771.2
304,194000,7760.0,88912,8891.2
305,196192,7847.68,93072,9307.2
306,183168,7326.72,83280,8328.0
307,176192,7047.68,80960,8096.0
308,175792,7031.68,79408,7940.8
309,178880,7155.2,82960,8296.0
310,175552,7022.08,81056,8105.6
311,167104,6684.16,75344,7534.4
312,162768,6510.72,72160,7216.0
313,183520,7340.8,88752,8875.2
314,202608,8104.32,97376,9737.6
315,212960,8518.4,103376,10337.6
316,215744,8629.76,106176,10617.6
317,213616,8544.64,105184,10518.4
318,193808,7752.32,90752,9075.2
319,199424,7976.96,95520,9552.0
320,202704,8108.16,94528,9452.8
321,215424,8616.96,100336,10033.6
322,216448,8657.92,99424,9942.4
323,222608,8904.32,103152,10315.2
324,226976,9079.04,106240,10624.0
325,219696,8787.84,101440,10144.0
326,216544,8661.76,99408,9940.8
327,241488,9659.52,120800,12080.0
328,249248,9969.92,124992,12499.2
329,247744,9909.76,124608,12460.8
330,233168,9326.72,117840,11784.0
331,198752,7950.08,90144,9014.4
332,228784,9151.36,109840,10984.0
333,192000,7680.0,86192,8619.2
334,185568,7422.72,81440,8144.0
335,170656,6826.24,73552,7355.2
336,179632,7185.28,77824,7782.4
337,164592,6583.68,69616,6961.6
338,172800,6912.0,73952,7395.2
339,175504,7020.16,75392,7539.2
340,185968,7438.72,82432,8243.2
341,187008,7480.32,83280,8328.0
342,202064,8082.56,94272,9427.2
343,201760,8070.4,91904,9190.4
344,214768,8590.72,100672,10067.2
345,213408,8536.32,99200,9920.0
346,217984,8719.36,99168,9916.8
347,228064,9122.56,106192,10619.2
348,230688,9227.52,106560,10656.0
349,225088,9003.52,106416,10641.6
350,208080,8323.2,95104,9510.4
351,191296,7651.84,84544,8454.4
352,187616,7504.64,84496,8449.6
353,190816,7632.64,85584,8558.4
354,209552,8382.08,98288,9828.8
355,224816,8992.64,104528,10452.8
356,246240,9849.6,117520,11752.0
357,230528,9221.12,103024,10302.4
358,206080,8243.2,87424,8742.4
359,181568,7262.72,76576,7657.6
360,176624,7064.96,74208,7420.8
361,0,nan,0,nan
362,170176,6807.04,71792,7179.2
363,0,nan,0,nan
364,192000,7680.0,80016,8001.6
365,198800,7952.0,84992,8499.2
366,265616,10624.64,125584,12558.4
367,246080,9843.2,109472,10947.2
368,262224,10488.96,119616,11961.6
369,239744,9589.76,112592,11259.2
370,222320,8892.8,102768,10276.8
371,215920,8636.8,105856,10585.6
372,198544,7941.76,93424,9342.4
373,211776,8471.04,109504,10950.4
374,207936,8317.44,104256,10425.6
375,191664,7666.56,93216,9321.6
376,217424,8696.96,114528,11452.8
377,200672,8026.88,98960,9896.0
378,202800,8112.0,100496,10049.6
379,200128,8005.12,99120,9912.0
380,203280,8131.2,101872,10187.2
381,199056,7962.24,99184,9918.4
382,196688,7867.52,99232,9923.2
383,193968,7758.72,96336,9633.6
384,191904,7676.16,98944,9894.4
385,194832,7793.28,98016,9801.6
386,196480,7859.2,97216,9721.6
387,207408,8296.32,105648,10564.8
388,202624,8104.96,98384,9838.4
389,219776,8791.04,112000,11200.0
390,219152,8766.08,106720,10672.0
391,208096,8323.84,98752,9875.2
392,216544,8661.76,106528,10652.8
393,209408,8376.32,100992,10099.2
394,201680,8067.2,95360,9536.0
395,192064,7682.56,87312,8731.2
396,182416,7296.64,80896,8089.6
397,179312,7172.48,82288,8228.8
398,175760,7030.4,80224,8022.4
399,182672,7306.88,88560,8856.0
400,190496,7619.84,92704,9270.4
401,182176,7287.04,86416,8641.6
402,193632,7745.28,96288,9628.8
403,194688,7787.52,94240,9424.0
404,197328,7893.12,93392,9339.2
405,213728,8549.12,112512,11251.2
406,206192,8247.68,105104,10510.4
407,189680,7587.2,84720,8472.0
408,203888,8155.52,94160,9416.0
409,207184,8287.36,94336,9433.6
