timestamp,X_motor,Y_motor,X_centroid,Y_centroid
15:01:18.235335,20508.182250,28547.377500,21012.110250,25859.761500
15:01:18.330786,20514.421125,28528.089375,20682.397125,26512.377375
15:01:18.445213,20518.040625,28509.134625,20686.016625,26997.350625
15:01:18.542239,20519.040750,28498.561875,20519.040750,27490.705875
15:01:18.646347,20519.707500,28486.703250,20519.707500,27814.799250
15:01:18.739982,20519.707500,28480.654875,20183.755500,28480.654875
15:01:18.840900,20518.135875,28478.749875,20182.183875,28814.701875
15:01:18.930356,20515.373625,28481.035875,20347.397625,28481.035875
15:01:19.043665,20511.849375,28481.940750,20511.849375,28313.964750
15:01:19.139963,20511.754125,28480.416750,20679.730125,28144.464750
15:01:19.238255,20512.897125,28477.845000,20680.873125,28141.893000
15:01:19.337967,20514.564000,28474.701750,20682.540000,28138.749750
15:01:19.434909,20516.088000,28471.463250,20684.064000,28135.511250
15:01:19.530418,20517.802500,28468.129500,20685.778500,28300.153500
15:01:19.646371,20519.421750,28466.034000,20687.397750,28298.058000
15:01:19.742411,20520.517125,28464.462375,21024.445125,28128.510375
15:01:19.839274,20522.231625,28462.081125,21026.159625,27958.153125
15:01:19.936027,20528.137125,28458.318750,21200.041125,27954.390750
15:01:20.032047,20532.090000,28452.937125,21036.018000,27949.009125
15:01:20.135206,20539.567125,28448.603250,21043.495125,28112.651250
15:01:20.231913,20542.281750,28444.412250,22893.945750,20885.492250
15:01:20.331471,20548.187250,28440.888000,22731.875250,21049.944000
15:01:20.433667,20564.379750,28423.933500,22412.115750,21368.941500
15:01:20.533638,20578.429125,28395.358500,22258.189125,21676.318500
15:01:20.632108,20592.335625,28366.116750,21768.167625,22318.980750
15:01:20.732428,20604.861000,28337.256000,22620.573000,21282.264000
15:01:20.833347,20613.433500,28308.109500,22293.193500,22092.997500
15:01:20.937961,20629.387875,28278.629625,21973.195875,22903.397625
15:01:21.037857,20640.389250,28248.864000,21648.245250,23713.512000
15:01:21.135725,20650.914375,28221.813000,21490.794375,24526.341000
15:01:21.234009,20658.772500,28196.286000,21162.700500,25172.718000
15:01:21.338031,20666.202000,28174.188000,21002.154000,25822.524000
15:01:21.429989,20668.869000,28157.281125,21004.821000,26309.545125
15:01:21.541403,20672.679000,28140.231375,20840.655000,26796.423375
15:01:21.643269,20675.155500,28129.182375,20843.131500,27289.302375
15:01:21.740842,20676.489000,28119.895500,20676.489000,27615.967500
15:01:21.842674,20677.060500,28113.990000,20677.060500,27778.038000
15:01:21.939364,20677.060500,28110.799125,20845.036500,27942.823125
15:01:22.037302,20678.251125,28108.465500,20846.227125,27940.489500
15:01:22.135023,20679.870375,28106.893875,20679.870375,27938.917875
15:01:22.234975,20680.203750,28105.322250,20680.203750,28105.322250
15:01:22.336348,20680.203750,28105.322250,20680.203750,28273.298250
15:01:22.435830,20680.203750,28106.893875,20848.179750,28274.869875
15:01:22.538287,20681.442000,28108.465500,20849.418000,28276.441500
15:01:22.636474,20683.013625,28110.037125,20850.989625,28278.013125
15:01:22.737885,20684.585250,28111.608750,20852.561250,28279.584750
15:01:22.838538,20686.156875,28113.180375,20686.156875,28281.156375
15:01:22.934079,20686.490250,28114.752000,20686.490250,28282.728000
15:01:23.034543,20686.490250,28116.323625,20686.490250,28116.323625
15:01:23.135858,20686.490250,28116.323625,16151.138250,23245.019625
15:01:23.233227,20684.966250,28113.275625,20684.966250,27945.299625
15:01:23.332643,20674.345875,28103.036250,20842.321875,28103.036250
15:01:23.432873,20673.964875,28102.464750,18154.324875,24742.944750
15:01:23.534937,20672.440875,28098.988125,17984.824875,24571.492125
15:01:23.642126,20656.867500,28079.700000,18137.227500,24720.180000
15:01:23.739376,20640.675000,28059.507000,18456.987000,25035.939000
15:01:23.834265,20622.958500,28038.885375,18775.222500,25519.245375
15:01:23.943544,20606.670750,28017.835125,18926.910750,25834.147125
15:01:24.034718,20595.288375,28003.595250,19083.504375,25987.883250
15:01:24.136164,20581.096125,27987.831375,19069.312125,25972.119375
15:01:24.237667,20570.237625,27973.401000,19226.429625,26125.665000
15:01:24.338482,20557.712250,27958.351500,19549.856250,26446.567500
15:01:24.436644,20547.949125,27945.969000,19540.093125,26434.185000
15:01:24.535920,20539.614750,27933.919875,19699.734750,26758.087875
15:01:24.633682,20530.613625,27922.632750,19858.709625,26914.776750
15:01:24.733226,20523.803250,27913.584000,20019.875250,27073.704000
15:01:24.834851,20518.088250,27905.487750,20182.136250,27233.583750
15:01:24.938054,20514.278250,27898.915500,20346.302250,27394.987500
15:01:25.045951,20511.373125,27893.200500,20175.421125,27053.320500
15:01:25.145037,20509.706250,27889.390500,20173.754250,27217.486500
15:01:25.252047,20506.229625,27880.484625,20338.253625,27208.580625
15:01:25.341099,20503.848375,27877.627125,20503.848375,27205.723125
15:01:25.435416,20503.276875,27869.864250,20671.252875,27533.912250
15:01:25.532993,20504.610375,27865.720875,20168.658375,27865.720875
15:01:25.640591,20503.038750,27865.435125,19999.110750,28033.411125
15:01:25.735261,20500.371750,27867.006750,19660.491750,28538.910750
