a,time,aligned_time
0.8295107686601395,6.4,-14.6
0.8390996427976917,6.5,-14.5
0.8459589927226643,6.6,-14.4
0.8361156501457161,6.7,-14.3
0.805475436902592,6.8,-14.2
0.7626020574248435,6.9,-14.1
0.7245730883551473,7.0,-14.0
0.7086810906082213,7.1,-13.9
0.7249974807566977,7.2,-13.8
0.773518383187617,7.3,-13.7
0.8460760279516881,7.4,-13.6
0.9303215281698334,7.5,-13.5
1.0128458004167606,7.6,-13.4
1.0805154285951353,7.7,-13.3
1.121278423355209,7.8,-13.2
1.1262117301379635,7.9,-13.1
1.093193792255007,8.0,-13.0
1.0304665514754094,8.1,-12.9
0.9571199170085372,8.2,-12.8
0.8983181880039743,8.3,-12.7
0.8758772879173805,8.4,-12.6
0.8981674965392052,8.5,-12.5
0.954944341477204,8.6,-12.4
1.0209006416425126,8.7,-12.3
1.0670227503049488,8.8,-12.2
1.0741078301795,8.9,-12.1
1.0412843437301047,9.0,-12.0
0.9851545844469456,9.1,-11.9
0.930434284351337,9.2,-11.8
0.8974551534592186,9.3,-11.7
0.893165047331505,9.4,-11.6
0.909904304461404,9.5,-11.5
0.9317497730826678,9.6,-11.4
0.9441140787063712,9.7,-11.3
0.9409095605476108,9.8,-11.2
0.925726017234238,9.9,-11.1
0.9076205906415196,10.0,-11.0
0.8953188316888187,10.1,-10.9
0.893708007978886,10.2,-10.8
0.9038606708622896,10.3,-10.7
0.9249298541255216,10.4,-10.6
0.95538955497776,10.5,-10.5
0.992505084569322,10.6,-10.4
1.0309917096812702,10.7,-10.3
1.0627793535661294,10.8,-10.2
1.0790785677744044,10.9,-10.1
1.0742303002208888,11.0,-10.0
1.0493220771621612,11.1,-9.9
1.0132279956580923,11.2,-9.8
0.9798877479309372,11.3,-9.7
0.9627463766606864,11.4,-9.6
0.9690560459692268,11.5,-9.5
0.9969265651225389,11.6,-9.4
1.0363759500342626,11.7,-9.3
1.073331270923361,11.8,-9.2
1.094241133955558,11.9,-9.1
1.0894303159195566,12.0,-9.0
1.0547674836598089,12.1,-8.9
0.9922061188321376,12.2,-8.8
0.9096389799570608,12.3,-8.7
0.8198567764030181,12.4,-8.6
0.7382090834909479,12.5,-8.5
0.6791454803854031,12.6,-8.4
0.6526278815650051,12.7,-8.3
0.6617272669389034,12.8,-8.2
0.7023195195876811,12.9,-8.1
0.7649621269212922,13.0,-8.0
0.8381655250558406,13.1,-7.9
0.9116810759881762,13.2,-7.800000000000001
0.978373853153417,13.3,-7.699999999999999
